pair,window,n_signal,diff_ret20,diff_precision
bear_marubozu+three_black_crows,q4_2025,52,0.004875116498996159,0.034684902099211934
bear_marubozu+three_black_crows,recent_2026,4,-0.04727860657688863,-0.1529114336976023
shooting_star_like+three_black_crows,q4_2025,76,-0.03807363818721592,-0.12549933914621636
shooting_star_like+three_black_crows,recent_2026,3,0.018959063676011315,0.3473581213307241
shooting_star_like+bear_harami,q4_2025,253,-0.006086426663763626,0.02574976409267893
shooting_star_like+bear_harami,recent_2026,39,0.005408112171640507,0.0397486371895821
bear_marubozu+bear_engulfing,q4_2025,245,0.009200927075631114,0.05165767428822943
bear_marubozu+bear_engulfing,recent_2026,14,-0.04076475335789369,-0.0815693047354541
bear_marubozu+evening_star,q4_2025,22,0.018422535680844586,-0.0020716263755896636
bull_engulfing+morning_star,q4_2025,28,-0.018550199977392948,-0.06704952666203134
bull_engulfing+morning_star,recent_2026,4,-0.11451518247362048,-0.1529114336976023
bull_marubozu+morning_star,q4_2025,31,-0.006532161252700067,-0.1223938891375782
bull_marubozu+morning_star,recent_2026,7,0.12246835924208953,0.2045645281611339
bear_marubozu+bear_harami,q4_2025,27,0.0030218590741946418,0.06531074210134513
bear_marubozu+bear_harami,recent_2026,1,0.0468864418984578,0.3472448646886208
bear_engulfing+bear_harami,q4_2025,56,0.003180713753030775,0.004428745367211273
bear_engulfing+bear_harami,recent_2026,2,-0.04216729560576978,-0.15286156856350885
doji+bull_harami,q4_2025,133,-0.0004795261431694703,-0.006876636596299446
doji+bull_harami,recent_2026,17,0.03323421801037014,0.11220506509239847
bear_engulfing+evening_star,q4_2025,33,0.012562229319261535,0.058580705371091835
bear_engulfing+evening_star,recent_2026,3,-0.05277359674534082,0.013861709067188532
hammer_like+bull_harami,q4_2025,153,0.009534669083686966,0.015215010147276997
hammer_like+bull_harami,recent_2026,17,-0.042408233588854614,-0.18272984250908597
doji+bear_harami,q4_2025,99,0.012700607379652007,-0.04257315922615357
doji+bear_harami,recent_2026,10,-0.03362572638576683,-0.15306122448979587
doji+three_black_crows,q4_2025,4,0.015350449856406177,0.11157623947614592
doji+three_black_crows,recent_2026,1,-0.02132317647695634,0.3472448646886208
shooting_star_like+bear_engulfing,q4_2025,47,-0.016401655416307444,-0.0640364915258711
shooting_star_like+bear_engulfing,recent_2026,4,-0.055058600606895776,-0.40307453922687975
bull_marubozu+bull_harami,q4_2025,28,0.003093320979009162,0.07590121409851847
bull_marubozu+bull_harami,recent_2026,4,-0.09901360228178371,-0.40307453922687975
shooting_star_like+bull_harami,q4_2025,349,-0.0010038902344935222,-0.04279491056949558
shooting_star_like+bull_harami,recent_2026,37,-0.02212493053816227,-0.08576139274728978
hammer_like+bear_engulfing,q4_2025,17,0.006685247483719212,0.008628056458038325
bull_marubozu+bull_engulfing,q4_2025,172,-0.012241847209805742,0.018617427882515303
bull_marubozu+bull_engulfing,recent_2026,14,0.0004717278700051772,-0.0815693047354541
hammer_like+bear_harami,q4_2025,87,-0.00204237409357785,0.05132539290726734
hammer_like+bear_harami,recent_2026,19,0.003548132533294654,0.031496334033251916
bull_engulfing+bull_harami,q4_2025,50,-0.003703072867110427,0.02159104743175544
bull_engulfing+bull_harami,recent_2026,5,0.017700818841421134,0.1473083197389886
hammer_like+bull_engulfing,q4_2025,11,-0.035506146957395304,-0.18393605552401432
shooting_star_like+bull_engulfing,q4_2025,49,-0.014728530189498006,-0.0875140645044159
shooting_star_like+bull_engulfing,recent_2026,5,-0.0783262361622857,-0.2530179445350734
doji+shooting_star_like,q4_2025,448,-0.011084695549741432,-0.05418036743953647
doji+shooting_star_like,recent_2026,67,-0.01576174894992591,-0.026232548529599775
doji+three_white_soldiers,q4_2025,7,0.02555218251993595,-0.06701659544468908
bull_marubozu+three_white_soldiers,q4_2025,30,-0.02074147587969832,-0.10517464626136874
bull_marubozu+three_white_soldiers,recent_2026,9,-0.010803866832858992,0.12514963543367075
hammer_like+three_white_soldiers,q4_2025,28,-0.0034347376484531143,0.07590121409851847
hammer_like+three_white_soldiers,recent_2026,4,-0.01561850508477746,-0.1529114336976023
doji+hammer_like,q4_2025,187,-0.004059426963202089,0.03014682803687918
doji+hammer_like,recent_2026,25,0.05456261994309232,-0.012864157119476305
