months_to_breakout,count,survivors_before,hazard
1,8027,24243,0.33110588623520193
2,4948,16216,0.3051307350764677
3,3276,11268,0.29073482428115016
4,2102,7992,0.263013013013013
5,1583,5890,0.26876061120543293
6,1135,4307,0.2635244950081263
7,772,3172,0.24337957124842372
8,595,2400,0.24791666666666667
9,423,1805,0.23434903047091413
10,300,1382,0.2170767004341534
11,240,1082,0.22181146025878004
12,197,842,0.2339667458432304
13,130,645,0.20155038759689922
14,97,515,0.1883495145631068
15,85,418,0.20334928229665072
16,69,333,0.2072072072072072
17,64,264,0.24242424242424243
18,37,200,0.185
19,34,163,0.2085889570552147
20,20,129,0.15503875968992248
21,37,109,0.3394495412844037
22,23,72,0.3194444444444444
23,24,49,0.4897959183673469
24,25,25,1.0
