group,horizon,n,win_rate,avg_ret,med_ret
baseline_regime_ma20_lt_ma60,3,66660,0.5269876987698769,0.03187337540001532,0.009626125914699232
baseline_regime_ma20_lt_ma60,6,66660,0.5449444944494449,0.06675956618571298,0.02180260935258516
baseline_regime_ma20_lt_ma60,12,66660,0.5788928892889289,0.13855056556607032,0.05225354201732155
baseline_regime_touch6low,3,15775,0.5412361331220286,0.036431320984112725,0.013717399332343954
baseline_regime_touch6low,6,15775,0.5808557844690967,0.085889440339974,0.03753026634382567
baseline_regime_touch6low,12,15775,0.5960063391442155,0.15502182893697575,0.06224899598393574
strategy_box_bottom_between_ma20_60,3,367,0.5667574931880109,0.015677124046103195,0.0085166784953867
strategy_box_bottom_between_ma20_60,6,367,0.6212534059945504,0.039835990145735876,0.0258130649520082
strategy_box_bottom_between_ma20_60,12,367,0.7002724795640327,0.12627134525719008,0.0862068965517241
