window,box_max_pct,n,win_rate_6m,avg_ret_6m,med_ret_6m,ma60_break_rate_6m,hit_5541_count
6,0.25,610,0.6131147540983607,0.04558551992259865,0.028848002281985502,0.4360655737704918,0
6,0.35,914,0.5940919037199125,0.04430641436831744,0.025712658630235398,0.40043763676148797,0
6,0.45,1091,0.5948670944087993,0.050435083706063186,0.02834008097165992,0.383134738771769,0
9,0.25,313,0.6070287539936102,0.03981985897998223,0.02881844380403458,0.4185303514376997,0
9,0.35,563,0.5985790408525755,0.04392676066388224,0.029925109220672912,0.35701598579040855,0
9,0.45,724,0.600828729281768,0.04818772979433905,0.0314523381294964,0.324585635359116,0
12,0.25,182,0.5274725274725275,0.020073595542353672,0.002341727948728483,0.33516483516483514,0
12,0.35,338,0.5414201183431953,0.028762003929175432,0.0074298100861885565,0.3165680473372781,0
12,0.45,466,0.5450643776824035,0.03256910312379108,0.013646448438382204,0.27682403433476394,0
