signal,horizon_months,n,win_rate,avg_ret,med_ret,ci95_low,ci95_high,avg_ret_net_20bps
regime_ma20_lt_ma60,3,66307,0.5265205785211214,0.03187536130901738,0.009523809523809525,0.030230343477336205,0.03352037914069855,0.029875361309017377
regime_ma20_lt_ma60,6,65770,0.5440930515432568,0.06687449064273292,0.0216,0.06436985888418338,0.06937912240128245,0.06487449064273292
regime_ma20_lt_ma60,12,64722,0.5773461883130929,0.13914056642644307,0.052054050864459786,0.13552612980800696,0.14275500304487918,0.13714056642644307
between_ma20_ma60,3,17361,0.4992799953919705,0.019668768325570407,0.0,0.016859042372580898,0.022478494278559916,0.017668768325570405
between_ma20_ma60,6,17221,0.510365251727542,0.04778361482366573,0.005454545333483995,0.04300193485064399,0.052565294796687465,0.045783614823665726
between_ma20_ma60,12,16984,0.5628238341968912,0.12417444648554557,0.04163456599897278,0.11754527815885356,0.1308036148122376,0.12217444648554557
touch_ma20_in_regime,3,46864,0.534632127005804,0.035038212139156553,0.0125,0.03300124535498984,0.037075178923323265,0.03303821213915655
touch_ma20_in_regime,6,46512,0.5532765737874097,0.07258533233264586,0.026120265543188935,0.06946921137956077,0.07570145328573094,0.07058533233264586
touch_ma20_in_regime,12,45720,0.58167104111986,0.14449443935716816,0.054752722902077625,0.14013882352353074,0.14885005519080557,0.14249443935716816
box_no_touch,3,1475,0.5803389830508474,0.027912649572492038,0.01647058823529412,0.022820540441688433,0.033004758703295646,0.025912649572492036
box_no_touch,6,1460,0.6513698630136986,0.062008753087517,0.03632625741059476,0.05419468204466429,0.06982282413036972,0.060008753087517
box_no_touch,12,1444,0.6966759002770083,0.14739591308715833,0.09523003403062452,0.13357091994998652,0.16122090622433013,0.14539591308715832
box_bottom,3,366,0.5655737704918032,0.015592844282889238,0.008376945254625928,0.00661240606509003,0.024573282500688444,0.013592844282889238
box_bottom,6,363,0.6198347107438017,0.03975227133620151,0.024536205864751647,0.025963243630765402,0.05354129904163762,0.03775227133620151
box_bottom,12,358,0.6983240223463687,0.12896332292116403,0.08624070317782286,0.10139644160536095,0.15653020423696712,0.12696332292116402
between_and_box_bottom,3,162,0.5246913580246914,0.011459943905529176,0.0035527065527065525,-0.002863794373162313,0.025783682184220665,0.009459943905529176
between_and_box_bottom,6,160,0.6375,0.04306317229426202,0.027348744717872235,0.02077091865987119,0.06535542592865286,0.04106317229426202
between_and_box_bottom,12,157,0.7070063694267515,0.13433885269821008,0.08541927409261577,0.08797631005291653,0.18070139534350363,0.13233885269821008
between_not_box_bottom,3,17199,0.49904064189778474,0.019746088492792142,0.0,0.016913112971957703,0.022579064013626582,0.01774608849279214
between_not_box_bottom,6,17061,0.5091729675868941,0.0478278836710196,0.005102056187918797,0.04300586590157307,0.052649901440466135,0.0458278836710196
between_not_box_bottom,12,16827,0.5614785760979378,0.12407961010500312,0.04081632653061224,0.11740251396510507,0.13075670624490118,0.12207961010500312
