scenario,direction,n,month_median,win_rate,avg_ret,tp20_rate,worst,q05
top2pct_base_net,up,3424,11.0,0.666179906542056,0.0662671362052249,0.4453855140186916,-0.6462182468694097,-0.2039999999999999
top2pct_base_net,down,3424,11.0,0.5408878504672897,0.024774787919094335,0.31863317757009346,-0.112,-0.112
top2pct_liq50_p300_net,up,1132,4.0,0.8144876325088339,0.11513581260144427,0.5795053003533569,-0.4075087719298246,-0.13943240427194573
top2pct_liq50_p300_net,down,1982,7.0,0.577699293642785,0.03474522449879269,0.3425832492431887,-0.112,-0.112
top2pct_liq70_p500_net,up,620,2.0,0.8516129032258064,0.12605400390777685,0.603225806451613,-0.3214904942965779,-0.10862565093524895
top2pct_liq70_p500_net,down,1160,4.0,0.5655172413793104,0.03245723300056168,0.35258620689655173,-0.112,-0.112
top2pct_short_cap95_net,down,3252,11.0,0.5479704797047971,0.025707380383355204,0.30565805658056583,-0.112,-0.112
top2pct_short_cap95_liq50_p300_net,down,1877,6.0,0.5887053809270112,0.03671596422968496,0.33137986148108683,-0.112,-0.112
top2pct_short_cap90_liq50_p300_net,down,1765,6.0,0.5966005665722379,0.03795029486721027,0.32237960339943345,-0.112,-0.112
