rule,n6,signals_per_year,win6,avg6,med6,ci95_low6,ci95_high6,avg6_net20bps,avg3,avg12,brk60_6_rate,best6,worst6
touch20_and_slope,5670,171.8181818181818,0.5788359788359788,0.07259501456423599,0.03362806839673224,0.06553270662303932,0.07965732250543266,0.07059501456423599,0.028070898000400912,0.1270262164115882,0.3959435626102293,0.24361681413009612,-0.14590762492139842
touch20,46512,1409.4545454545455,0.5532765737874097,0.07258533233264586,0.026120265543188935,0.06946921137956077,0.07570145328573094,0.07058533233264586,0.035038212139156553,0.14449443935716816,0.22731768145854833,0.26702558053558506,-0.151783071949554
between_and_slope,5668,171.75757575757575,0.5453422724064926,0.06421195845419735,0.02087615356980901,0.05653580111433062,0.07188811579406407,0.062211958454197344,0.02027349549965412,0.1509912494089389,0.4768877911079746,0.2383792242670117,-0.1558539821221369
between_and_box_and_slope,57,1.7272727272727273,0.6666666666666666,0.05795104040572934,0.032846715328467155,0.019719731700246296,0.09618234911121239,0.05595104040572934,0.014778611724947911,0.14554861176229514,0.6140350877192983,0.13722145778857672,-0.08539610205868872
touch20_and_between,8674,262.8484848484849,0.5266313119667974,0.05500704776010311,0.011364003228410007,0.047685296804325664,0.062328798715880554,0.05300704776010311,0.024965493014414367,0.1314888966215465,0.3964722158173853,0.24006094155516483,-0.14632660507819098
touch20_and_box_and_slope,101,3.0606060606060606,0.7029702970297029,0.05330096530589936,0.032846715328467155,0.028363210748987337,0.07823871986281139,0.05130096530589936,0.02035268233792291,0.1576625800656451,0.5544554455445545,0.13343298926362437,-0.07984714768358128
between,17221,521.8484848484849,0.510365251727542,0.04778361482366573,0.005454545333483995,0.04300193485064399,0.052565294796687465,0.045783614823665726,0.019668768325570407,0.12417444648554557,0.4168166773125835,0.2341832592844747,-0.1524580098987802
box_and_slope,107,3.242424242424242,0.6728971962616822,0.04768354629480703,0.0258130649520082,0.023602518296423163,0.0717645742931909,0.04568354629480703,0.017249256217497923,0.15038182231422925,0.5420560747663551,0.12908476131513907,-0.08138211794773312
touch20_and_box,341,10.333333333333334,0.6304985337243402,0.04076729552054408,0.02834008097165992,0.026613063828391625,0.05492152721269654,0.03876729552054408,0.01833090497610409,0.13065103446396278,0.4633431085043988,0.1279556467996812,-0.0787823136450502
box_bottom,363,11.0,0.6198347107438017,0.03975227133620151,0.024536205864751647,0.025963243630765402,0.05354129904163762,0.03775227133620151,0.015592844282889238,0.12896332292116403,0.4573002754820937,0.1271089977785638,-0.07985538290893407
