timeframe,streak_bin_above20,n,win_rate_3m,avg_ret_3m,med_ret_3m,avg_dd_3m,ma60_break_rate_3m
daily,0-2,492856,0.5245223757040596,0.024391670951376482,0.008503826743303626,-0.10594042942608582,0.9108583440193484
daily,3-5,68707,0.5236438790807342,0.024224253819380336,0.008051529790660225,-0.10456990104126414,0.8792262797094911
daily,6-9,41560,0.532771896053898,0.026199482616821593,0.010699139469353757,-0.10280595515698664,0.8760346487006737
daily,10+,156156,0.5314621276159738,0.028177384683731328,0.010831829121540314,-0.10479962541017059,0.8495222725991957
weekly,0-2,63815,0.5298597508422784,0.021544764733496813,0.009134065710575375,-0.09686617840757841,0.4659406095745514
weekly,3-5,10692,0.5269360269360269,0.024141927078524666,0.00882055471272416,-0.09705604900994105,0.4162925551814441
weekly,6-9,5909,0.5273311897106109,0.021079955368320236,0.00744324525493115,-0.09596959626706549,0.4246065324081909
weekly,10+,22367,0.5295301113247195,0.022540855653425267,0.010376134889753566,-0.10399915902574738,0.31533062100415793
monthly,0-2,7839,0.534124250542161,0.017772618989137946,0.010471204188481676,-0.10587233381029071,0.14045158821278225
monthly,3-5,1663,0.5550210463018641,0.018393984786435662,0.016453381716915984,-0.11056977133611491,0.14612146722790137
monthly,6-9,851,0.5746180963572268,0.04090640501506507,0.02743142144638404,-0.09683780319526429,0.12573443008225618
monthly,10+,4543,0.5274047985912392,0.020003173305804867,0.009111617312072893,-0.1084523924549459,0.05855161787365177
