timeframe,feature,mean_success,mean_failure,delta_success_minus_failure
daily,slope20_3,0.0036875658198666137,0.0037612293902074437,-7.366357034082997e-05
daily,slope60_3,0.004613009938515123,0.004605826990746609,7.182947768513519e-06
daily,dist_close_ma20,0.003262975968463087,0.003255508650007142,7.467318455944925e-06
daily,dist_close_ma60,0.047160516782572263,0.04745876125070676,-0.0002982444681344995
daily,pb_depth_ma20,0.009080375832574308,0.009369602366144796,-0.0002892265335704882
daily,above20_streak,5.8678385986862684,5.678260216763889,0.18957838192237908
daily,upclose_streak,0.7910040663121677,0.7824826082846291,0.008521458027538564
daily,dd_3m,-0.05307931730276454,-0.1635570412141191,0.11047772391135455
daily,ma60_break_rate_3m,0.7976628088833281,0.999936049647717,-0.2022732407643889
weekly,slope20_3,0.009446626078192848,0.009793634293191663,-0.00034700821499881497
weekly,slope60_3,0.011035089359428122,0.011974915758881325,-0.0009398263994532027
weekly,dist_close_ma20,0.0157297402365374,0.01674324444912448,-0.0010135042125870818
weekly,dist_close_ma60,0.12117169802447954,0.12829474701912122,-0.007123048994641681
weekly,pb_depth_ma20,0.01868181292208766,0.01997335586921958,-0.0012915429471319212
weekly,above20_streak,6.275148418402044,6.33051513147015,-0.055366713068106144
weekly,upclose_streak,0.9612366055838403,0.9629154952869191,-0.0016788897030788341
weekly,dd_3m,-0.049028253631902226,-0.1538984577065897,0.10487020407468747
weekly,ma60_break_rate_3m,0.16839744885768376,0.7149206217959319,-0.546523172938248
monthly,slope20_3,0.02545669656522114,0.027560553638032087,-0.0021038570728109454
monthly,slope60_3,0.02490985999548835,0.028397363620605787,-0.0034875036251174364
monthly,dist_close_ma20,0.04862027817254151,0.047473919333684333,0.0011463588388571783
monthly,dist_close_ma60,0.30677347134145566,0.3261091714947109,-0.019335700153255253
monthly,pb_depth_ma20,0.03994011906135775,0.04281620773381483,-0.002876088672457082
monthly,above20_streak,8.788367729831144,9.290827416316477,-0.5024596864853326
monthly,upclose_streak,1.0602876797998748,1.015649905810752,0.04463777398912283
monthly,dd_3m,-0.05478311490409414,-0.16677698018469558,0.11199386528060144
monthly,ma60_break_rate_3m,0.017135709818636647,0.22895232574989133,-0.21181661593125467
