timeframe,segment,n_1,avg_short_ret_1,avg_short_ret_1_net_10bps,avg_short_ret_1_net_20bps,avg_short_ret_1_net_30bps
monthly,baseline_all,193957,-0.0079340931098431,-0.0089340931098431,-0.0099340931098431,-0.010934093109843099
monthly,bull_streak_ge_7,1987,-0.0141770804527003,-0.0151770804527003,-0.0161770804527003,-0.0171770804527003
monthly,hanging_man_all,2127,-0.0096061746833462,-0.010606174683346199,-0.0116061746833462,-0.0126061746833462
monthly,hanging_pre_bull_ge_7,99,0.0039090462352592,0.0029090462352592003,0.0019090462352592003,0.0009090462352592003
weekly,baseline_all,842439,-0.0008827464044977,-0.0018827464044977,-0.0028827464044977,-0.0038827464044977
weekly,bull_streak_ge_7,4342,0.0005811588362195,-0.0004188411637805,-0.0014188411637805001,-0.0024188411637805
weekly,hanging_man_all,7692,-0.0019403143271187,-0.0029403143271187,-0.0039403143271187005,-0.0049403143271187
weekly,hanging_pre_bull_ge_7,156,-0.0009680632833026,-0.0019680632833026,-0.0029680632833026,-0.0039680632833026
daily,baseline_all,3960157,0.0001914420314597,-0.0008085579685403,-0.0018085579685403,-0.0028085579685403
daily,bull_streak_ge_7,17326,3.086485694722494e-05,-0.0009691351430527751,-0.0019691351430527753,-0.0029691351430527753
daily,hanging_man_all,45363,0.0004287718911052,-0.0005712281088948001,-0.0015712281088948001,-0.0025712281088948
daily,hanging_pre_bull_ge_7,498,-0.0018653477480795,-0.0028653477480795,-0.0038653477480795,-0.0048653477480795
