pattern,horizon_days,n,hit10_rate,hit5_rate,stop5_rate,avg_ret_close_based
R1_model_consensus,3,12019,0.15284133455362342,0.40743822281387804,0.1657375821615775,0.022908648361819876
R1_model_consensus,5,12019,0.3075963058490723,0.5835760046592895,0.21748897578833515,0.03615783038315328
R1_model_consensus,7,12019,0.42457775189283636,0.7031367002246444,0.2551792994425493,0.04615664183266489
R1_model_consensus,10,12019,0.5789167152009319,0.8083035194275731,0.3006073716615359,0.053025029327331816
R1_model_consensus,15,12019,0.6785090273733255,0.8598053082619186,0.3749063982028455,0.03998832321867687
R1_model_consensus,20,12019,0.7112072551792994,0.8785256676928197,0.4410516681920293,0.024464990129539448
R2_consensus_plus_extension,3,556,0.1366906474820144,0.3920863309352518,0.2841726618705036,0.010098035562191488
R2_consensus_plus_extension,5,556,0.27697841726618705,0.5611510791366906,0.36510791366906475,0.02145461486956221
R2_consensus_plus_extension,7,556,0.4154676258992806,0.6798561151079137,0.4010791366906475,0.03718510860892911
R2_consensus_plus_extension,10,556,0.5629496402877698,0.7679856115107914,0.45323741007194246,0.047000330592649936
R2_consensus_plus_extension,15,556,0.6744604316546763,0.8309352517985612,0.5251798561151079,0.03769581110735472
R2_consensus_plus_extension,20,556,0.7050359712230215,0.8525179856115108,0.5683453237410072,0.03313783966088837
R3_countertrend_upper_band,3,653,0.12710566615620214,0.3889739663093415,0.2557427258805513,0.011283021880610521
R3_countertrend_upper_band,5,653,0.2725880551301684,0.5359877488514548,0.333843797856049,0.020321297385787508
R3_countertrend_upper_band,7,653,0.38284839203675347,0.6462480857580398,0.3767228177641654,0.035216177107663706
R3_countertrend_upper_band,10,653,0.5252679938744257,0.7519142419601837,0.4226646248085758,0.04420237950985827
R3_countertrend_upper_band,15,653,0.6355283307810107,0.8208269525267994,0.4777947932618683,0.038463059198204474
R3_countertrend_upper_band,20,653,0.6768759571209801,0.8514548238897397,0.5160796324655437,0.036503247910213574
R6_overheat_then_turn,3,2831,0.09466619569056871,0.35747085835393855,0.38043094312963616,-0.00429108443236483
R6_overheat_then_turn,5,2831,0.16566584245849522,0.4588484634404804,0.4775697633345108,-0.007766737754889931
R6_overheat_then_turn,7,2831,0.22854115153655952,0.5157188272695161,0.5397386082656305,-0.009566399417072567
R6_overheat_then_turn,10,2831,0.30731190392087604,0.5732956552454963,0.6100317908866125,-0.01394003864305888
R6_overheat_then_turn,15,2831,0.3871423525256093,0.6347580360296715,0.6856234546096786,-0.026480034972423877
R6_overheat_then_turn,20,2831,0.4305898975626987,0.6612504415400918,0.7301306958671847,-0.037354623324272695
baseline,3,159404,0.024453589621339488,0.10980276530074527,0.1491995182053148,-0.00404954870926633
baseline,5,159404,0.045569747308725,0.17120649419086095,0.23892123158766404,-0.006408012689957697
baseline,7,159404,0.06571980627838699,0.21899074050839376,0.31291561064967,-0.008745521122565544
baseline,10,159404,0.09541793179593988,0.27591528443451857,0.4023299289854709,-0.012726004967977968
baseline,15,159404,0.1405046297458031,0.3484166018418609,0.5088140824571529,-0.019353327157775276
baseline,20,159404,0.1811246894682693,0.39966374745928585,0.5809578178715716,-0.025348592087051747
